data affmb;
length id$ 8 customerid$ 12	visitid$ 12	itemtype$ 16	Brand$ 12;
input id$	customerid$	visitid$	itemtype$	Brand$;
cards;
1	900001	100116	Chips	Brand19
2	900001	100116	Cookies	Brand24
3	900001	100116	Cookies	Brand22
4	900001	100116	Milk	Brand45
5	900001	100116	Softdrink	Brand54
6	900001	100116	Diapers	Brand25
7	900001	100116	Milk	Brand44
8	900001	100116	Bread	Brand10
9	900001	100116	Bread	Brand10
10	900001	100007	Softdrink	Brand54
11	900001	100007	Chips	Brand19
12	900001	100007	LaundryDetergent	Brand39
13	900002	100015	Chips	Brand21
14	900002	100015	Bread	Brand10
15	900002	100127	Bread	Brand10
16	900002	100127	Bread	Brand10
17	900002	100127	Candy	Brand14
18	900002	100127	Milk	Brand43
19	900002	100127	Bread	Brand12
20	900002	100127	Cookies	Brand22
21	900002	100127	Cookies	Brand23
22	900003	100046	HamburgerBuns	Brand33
23	900003	100046	CatFood	Brand18
24	900003	100046	Milk	Brand45
25	900003	100046	LaundryDetergent	Brand39
26	900003	100046	CatFood	Brand17
27	900003	100025	Cookies	Brand24
28	900003	100025	Milk	Brand45
29	900003	100025	Bread	Brand10
30	900003	100025	Softdrink	Brand53
31	900003	100025	Diapers	Brand27
32	900003	100025	CatFood	Brand17
33	900004	100108	CatFood	Brand18
34	900004	100108	CatFood	Brand17
35	900004	100108	Chips	Brand20
36	900004	100108	Bread	Brand12
37	900004	100108	Chips	Brand21
38	900004	100108	Softdrink	Brand54
39	900004	100108	Chips	Brand21
40	900004	100108	CatFood	Brand18
41	900004	100099	Milk	Brand44
42	900004	100099	Candy	Brand15
43	900004	100099	Milk	Brand45
44	900004	100099	Milk	Brand45
45	900004	100099	Cookies	Brand24
46	900004	100099	Diapers	Brand27
47	900005	100039	Softdrink	Brand54
48	900005	100039	Cookies	Brand24
49	900005	100085	Bread	Brand12
50	900005	100085	Chips	Brand21
51	900005	100085	Cookies	Brand22
52	900005	100085	Softdrink	Brand54
53	900005	100085	Candy	Brand13
54	900005	100085	Softdrink	Brand53
55	900005	100085	Softdrink	Brand52
56	900005	100085	DogFood	Brand29
57	900005	100085	Bread	Brand10
58	900006	100004	HamburgerBuns	Brand32
59	900006	100004	Milk	Brand43
60	900006	100004	DogFood	Brand30
61	900006	100004	Bread	Brand11
62	900006	100004	Diapers	Brand25
63	900006	100037	DogFood	Brand30
64	900006	100037	Milk	Brand43
65	900006	100037	Bread	Brand12
66	900007	100002	Bread	Brand12
67	900007	100002	CatFood	Brand17
68	900007	100002	Softdrink	Brand53
69	900007	100002	Chips	Brand20
70	900007	100002	Candy	Brand14
71	900007	100002	HamburgerBuns	Brand31
72	900007	100002	Diapers	Brand26
73	900007	100002	Candy	Brand14
74	900007	100002	Milk	Brand44
75	900007	100039	Milk	Brand45
76	900007	100039	Diapers	Brand26
77	900007	100039	HamburgerBuns	Brand33
78	900007	100039	Bread	Brand10
79	900008	100017	Cookies	Brand22
80	900008	100017	DogFood	Brand29
81	900008	100017	LightBulb	Brand41
82	900008	100017	Milk	Brand44
83	900008	100017	LaundryDetergent	Brand38
84	900008	100017	Chips	Brand20
85	900008	100019	Cookies	Brand22
86	900008	100019	Softdrink	Brand54
87	900008	100019	Bread	Brand10
88	900008	100019	Antacid	Brand5
89	900008	100019	Chips	Brand21
90	900008	100019	Milk	Brand43
91	900009	100001	Milk	Brand45
92	900009	100001	Bread	Brand10
93	900009	100001	Milk	Brand45
94	900009	100001	Cookies	Brand22
95	900009	100001	Milk	Brand45
96	900009	100001	Bread	Brand12
97	900009	100001	Diapers	Brand25
98	900009	100001	CatFood	Brand16
99	900009	100001	Candy	Brand15
100	900009	100001	Diapers	Brand27
101	900009	100001	Diapers	Brand27
102	900009	100001	Bread	Brand10
103	900009	100001	Chips	Brand19
104	900009	100001	Chips	Brand19
